value,date
321427.611,9/1/2015
321653.019,10/1/2015
321856.265,11/1/2015
322043.071,12/1/2015
322232.862,1/1/2016
322398.098,2/1/2016
322551.468,3/1/2016
322721.212,4/1/2016
322899.995,5/1/2016
323088.466,6/1/2016
323291.042,7/1/2016
323501.361,8/1/2016
323709.851,9/1/2016
323919.726,10/1/2016
324106.527,11/1/2016
324274.912,12/1/2016
324438.195,1/1/2017
324581.497,2/1/2017
324713.97,3/1/2017
324861.757,4/1/2017
325019.199,5/1/2017
325186.237,6/1/2017
325367.612,7/1/2017
325567.716,8/1/2017
325766.019,9/1/2017
325965.952,10/1/2017
326142.633,11/1/2017
326301.399,12/1/2017
326454.123,1/1/2018
326600.823,2/1/2018
326736.69,3/1/2018
326887.866,4/1/2018
327048.704,5/1/2018
327219.14,6/1/2018
327403.909,7/1/2018
327600.25,8/1/2018
327794.788,9/1/2018
327990.95,10/1/2018
328163.864,11/1/2018
328318.861,12/1/2018
328467.812,1/1/2019
328610.744,2/1/2019
328742.843,3/1/2019
328890.25,4/1/2019
329047.319,5/1/2019
329213.989,6/1/2019
329394.993,7/1/2019
329591.333,8/1/2019
329785.872,9/1/2019
329982.035,10/1/2019
330154.949,11/1/2019
330309.946,12/1/2019
